id,name,neighbourhood,latitude,longitude,host_id,host_name,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365,ratings,bedrooms,beds,baths
25173838,Hostel in Shinjuku-ku,Shinjuku Ku,35.71531,139.68657,178158779,Weollim,Hotel room,8429,1,41,0.66,132,4.43,1.0,1.0,1.0
24844134,Home in Toshima-ku,Toshima Ku,35.73341,139.70054,94743304,松,Entire home/apt,39999,2,80,1.34,51,4.92,3.0,5.0,2.0
25212990,Home in Taitō-ku,Taito Ku,35.71041,139.78109,176875986,Yadoya,Entire home/apt,63345,1,75,1.24,151,4.84,4.0,6.0,1.0
24883696,Home in 武蔵野市,Musashino Shi,35.70636,139.5553,184078938,Koshio,Private room,4900,2,57,0.99,223,4.72,1.0,1.0,1.0
25236602,Home in 板橋区双葉町,Itabashi Ku,35.75976,139.7033,184703456,Leo,Private room,5900,1,41,0.66,33,4.39,1.0,1.0,1.0
25240138,Hotel in Toshima,Toshima Ku,35.73613,139.74968,97903375,Max,Private room,12714,2,27,0.44,205,4.52,1.0,4.0,1.0
24925007,Home in Shinjuku-ku,Shinjuku Ku,35.72489967532895,139.67615434112824,188451168,Kaneda,Private room,5500,2,38,0.65,52,5.0,1.0,2.0,2.0
25269322,Hostel in Shinjuku-ku,Shinjuku Ku,35.71531,139.68657,178158779,Weollim,Hotel room,8429,1,28,0.46,132,4.29,1.0,1.0,1.0
25272938,Hotel in Toshima,Toshima Ku,35.73613,139.74968,97903375,Max,Private room,8843,2,57,0.92,85,4.44,1.0,2.0,1.0
24927038,Villa in 板橋区双葉町,Itabashi Ku,35.75872,139.7014,184703456,Leo,Private room,5900,1,28,0.46,59,4.71,1.0,1.0,2.0
25280248,Hotel in Toshima,Toshima Ku,35.73613,139.74968,97903375,Max,Private room,8493,2,32,0.52,86,4.63,1.0,2.0,1.0
25981202,Home in Kanamachi,Katsushika Ku,35.76606,139.86476,30840659,Guesthouse,Private room,3513,2,8,0.13,41,4.88,1.0,2.0,1.0
25280943,Aparthotel in Toshima,Toshima Ku,35.73613,139.74968,97903375,Max,Private room,8686,2,29,0.5,55,4.83,1.0,3.0,1.0
25299098,Hotel in Toshima,Toshima Ku,35.73613,139.74968,97903375,Max,Private room,8031,2,64,1.04,78,4.43,1.0,2.0,1.0
25300719,Rental unit in Setagaya,Setagaya Ku,35.61446,139.63807,191116680,Aoca,Private room,25743,2,22,0.36,4,4.68,2.0,1.0,1.0
25985465,ryokan in 荒川区東日暮里,Arakawa Ku,35.73274,139.77519,85022417,Kiyoshi,Private room,12000,1,39,0.65,79,4.95,1.0,1.0,1.0
25987300,Home in Machida-shi,Machida Shi,35.56182,139.45782,11135133,Odamura Kimiko,Private room,3500,2,29,0.48,160,4.86,1.0,1.0,1.0
25987903,Villa in 墨田区,Sumida Ku,35.710705,139.805832,188293248,La Krasse 墨田,Entire home/apt,12914,1,11,0.18,146,4.82,1.0,2.0,1.0
25301472,Rental unit in Setagaya,Setagaya Ku,35.61247,139.63679,191116680,Aoca,Private room,25743,2,27,0.45,13,4.63,1.0,1.0,1.0
25995475,Hostel in Tokyo,Katsushika Ku,35.75227,139.86838,193360373,Tak,Hotel room,2114,1,61,1.02,42,4.8,1.0,1.0,3.0
26011303,Rental unit in Sumida-ku,Sumida Ku,35.71009,139.81501,195501603,T-Home,Entire home/apt,16143,1,100,1.64,75,4.72,1.0,2.0,1.0
26013305,Villa in 墨田区,Sumida Ku,35.71148,139.80502,188293248,La Krasse 墨田,Entire home/apt,17429,1,11,0.18,135,4.91,1.0,2.0,1.0
25307126,Hostel in Shinjuku-ku,Shinjuku Ku,35.71531,139.68657,178158779,Weollim,Hotel room,3714,1,15,0.25,165,4.47,1.0,1.0,1.0
25328463,Hostel in Shinjuku-ku,Shinjuku Ku,35.71531,139.68657,178158779,Weollim,Hotel room,3714,1,29,0.48,77,4.52,1.0,1.0,1.0
25329162,Hostel in Shinjuku-ku,Shinjuku Ku,35.71531,139.68657,178158779,Weollim,Hotel room,3714,1,51,0.84,78,4.57,1.0,1.0,1.0
25330652,Hostel in Shinjuku-ku,Shinjuku Ku,35.71531,139.68657,178158779,Weollim,Hotel room,3714,1,30,0.49,77,4.57,1.0,1.0,1.0
26013781,Villa in 墨田区,Sumida Ku,35.710705,139.805832,188293248,La Krasse 墨田,Entire home/apt,23500,1,53,0.87,57,4.81,1.0,3.0,1.0
25332122,Hostel in Shinjuku-ku,Shinjuku Ku,35.71531,139.68657,178158779,Weollim,Hotel room,3714,1,59,0.96,161,4.49,1.0,1.0,1.0
